anio,id_jurisdiccion,provincia,nacimientos_cantidad,poblacion,tgf
2021,78.0,santa_cruz,3384,374756,1.21720466945563
2021,82.0,santa_fe,41226,3563390,1.62764200871
2021,86.0,santiago_del_estero,14469,988245,1.71954346293231
2021,94.0,tierra_del_fuego,1655,183395,1.23725569775761
2021,90.0,tucuman,20629,1714487,1.62910947881316
2022,6.0,buenos_aires,164081,17877442,1.3163806047928
2022,2.0,capital_federal,23397,3081550,1.10023304557062
2022,10.0,catamarca,4549,422476,1.4866874495599
2022,22.0,chaco,13783,1227736,1.81734854476489
2022,26.0,chubut,5683,639294,1.29703020139816
2022,14.0,cordoba,39133,3835738,1.44838340297119
2022,18.0,corrientes,14088,1139604,1.60825792606827
2022,30.0,entre_rios,14315,1410908,1.44728427498697
2022,34.0,formosa,7814,614706,1.74913348447631
2022,38.0,jujuy,6751,787436,1.28110456439226
2022,42.0,la_pampa,3354,364322,1.34139510151543
2022,46.0,la_rioja,4136,393892,1.32227068783843
2022,50.0,mendoza,20683,2030061,1.41838456746597
2022,54.0,misiones,18918,1288476,1.88237013877121
2022,58.0,neuquen,7224,680726,1.49019077594405
2022,62.0,rio_negro,7359,766387,1.42735117546027
2022,66.0,salta,17636,1459378,1.62312284175232
2022,70.0,san_juan,9948,797697,1.72658507404894
2022,74.0,san_luis,5289,520845,1.40195889193549
2022,78.0,santa_cruz,3514,383827,1.23603984915152
2022,82.0,santa_fe,38242,3589999,1.55985819756347
2022,86.0,santiago_del_estero,13992,998093,1.46221841394643
2022,94.0,tierra_del_fuego,1510,189413,1.07079319801585
2022,90.0,tucuman,18658,1734118,1.51656592363949
