anio,provincia,nacimientos_cantidad,poblacion,tgf,defunciones,tbn,tbm,crecimiento_vegetativo,tasa_crecimiento
2013,la_pampa,5605,336706,2.3780814292417887,2608,16.64657000469252,7.745629718508135,2997,8.900940286184387
2013,la_rioja,6347,347598,2.608514104552632,2083,18.259598731868422,5.99255461769055,4264,12.267044114177871
2013,mendoza,33353,1841813,2.5869696248828116,13130,18.10878737417968,7.128845327945888,20223,10.979942046233791
2013,misiones,25983,1159445,3.2014085556944427,6603,22.4098598898611,5.694966126034439,19380,16.71489376382666
2013,neuquen,11478,601003,2.7282963408074266,2966,19.098074385651987,4.935083518717876,8512,14.162990866934111
2013,rio_negro,12001,678797,2.525686724349948,4114,17.679807070449634,6.060722130474944,7887,11.619084939974691
2013,salta,27465,1295944,3.0275779112148586,7509,21.19304537850401,5.794231849524362,19956,15.398813528979648
2013,san_juan,14924,721830,2.953604034190876,4802,20.675228239336132,6.652535915658812,10122,14.022692323677319
2013,san_luis,7806,463411,2.4063797733391246,3046,16.84465841337387,6.572998914570435,4760,10.271659498803437
2013,santa_cruz,5997,302420,2.8328625279885116,1401,19.830037695919582,4.63263011705575,4596,15.197407578863832
2013,santa_fe,56165,3341228,2.401383990727789,29784,16.809687935094523,8.91408787427856,26381,7.895600060815964
2013,santiago_del_estero,18205,908268,2.8633776437288176,5548,20.043643506101724,6.108329259645831,12657,13.935314246455892
2013,tierra_del_fuego,2851,141544,2.8774495159506186,479,20.14214661165433,3.384106708867914,2372,16.758039902786415
2013,tucuman,29445,1551460,2.7112710423914064,9964,18.978897296739845,6.422337669034329,19481,12.556559627705516
2014,buenos_aires,293943,16476201,2.5486371004369963,133068,17.840459703058976,8.076376344279849,160875,9.764083358779127
2014,capital_federal,44754,3049229,2.096736116385018,32400,14.677152814695125,10.625636841313002,12354,4.0515159733821235
2014,catamarca,7032,393088,2.555589151974694,2262,17.88912406382286,5.754436665581244,4770,12.134687398241615
2014,chaco,24728,1130608,3.1244882652266996,7469,21.8714178565869,6.606180037643463,17259,15.265237818943437
2014,chubut,9678,556319,2.485213391186403,3141,17.396493738304823,5.646041210168986,6537,11.750452528135838
2014,cordoba,60047,3528687,2.4309730098313787,28073,17.01681106881965,7.955650359467983,31974,9.061160709351666
2014,corrientes,21038,1059836,2.835748711525718,6862,19.850240980680027,6.474586634158492,14176,13.375654346521536
